Tipi i pjates,Emri I Pjates,Pershkrimi ,Cmimi
Embelsire,Bakllava,"Ëmbëlsirë me fije të holla, arra dhe sherbet.",300
Embelsire,Sultjash,"Ëmbëlsirë me qumësht, oriz dhe sheqer.",150
Embelsire,Revani,Ëmbëlsirë e ëmbël me sherbet dhe kokos.,250
Embelsire,Qumështor,Ëmbëlsirë e butë me qumësht dhe sheqer.,200
Embelsire,Ballokume,"Ëmbëlsirë tradicionale me miell, vezë dhe sheqer.",180
Embelsire,Hasude,"Ëmbëlsirë me mjaltë, sheqer dhe arra.",220
Embelsire,Kabuni,"Ëmbëlsirë me oriz, qumësht dhe sheqer.",170
Embelsire,Tullumba,Ëmbëlsirë e fërguar me sherbet.,190
Embelsire,Kadaif me mjalte,Kadaif i ëmbël me mjaltë dhe arra.,350
Embelsire,Ëmbëlsirë me hurma,Ëmbëlsirë me hurma të freskëta dhe arra.,280
Embelsire,Ëmbëlsirë me arra,Ëmbëlsirë e pasur me arra dhe mjaltë.,320
Embelsire,Ëmbëlsirë me bajame,Ëmbëlsirë me bajame dhe çokollatë.,340
Embelsire,Ëmbëlsirë me kokos,Ëmbëlsirë me kokos dhe sheqer.,260
Embelsire,Ëmbëlsirë me vanilje,Ëmbëlsirë me aromë vanilje dhe krem të butë.,230
Embelsire,Ëmbëlsirë me çokollatë e bardhë,Ëmbëlsirë me çokollatë të bardhë dhe krem.,400
Embelsire,Ëmbëlsirë me fruta,Ëmbëlsirë me fruta të freskëta dhe krem.,270
Embelsire,Ëmbëlsirë me kafe,Ëmbëlsirë me aromë kafe dhe krem.,310
Embelsire,Ëmbëlsirë me karamele,Ëmbëlsirë me karamel dhe krem të butë.,330
Embelsire,Ëmbëlsirë me portokall,Ëmbëlsirë me portokall dhe krem.,290
Embelsire,Ëmbëlsirë me limon,Ëmbëlsirë me limon dhe krem të freskët.,240
Embelsire,Ëmbëlsirë me mjedër,Ëmbëlsirë me mjedër dhe sheqer.,360
Embelsire,Ëmbëlsirë me sheqer kokrra,Ëmbëlsirë me sheqer kokrra dhe krem.,210
Embelsire,Ëmbëlsirë me mjaltë dhe arra,Ëmbëlsirë me mjaltë dhe arra të copëtuara.,380
Embelsire,Ëmbëlsirë me krem banane,Ëmbëlsirë me krem banane dhe çokollatë.,370
Embelsire,Ëmbëlsirë me krem vanilje,Ëmbëlsirë me krem vanilje dhe çokollatë.,390
Embelsire,Kek me Cokollate,Keku me Çokollatë është një ëmbëlsirë e shijshme dhe tërheqëse për të gjithë dashamirësit e çokollatës.,200
Embelsire,Trilece,Trileçe është një ëmbëlsirë e përbërë prej tre lloje qumështi dhe është e njohur për shijen e tij të butë dhe të ëmbël.,250
Embelsire,Akullore,"Akullore është një ëmbëlsirë e ftohtë, e ngrënë si një zgjidhje për të ftohur në ditë të ngrohta.",150
Embelsire,Tiramisu ,"Tiramisu është një ëmbëlsirë  e përbërë nga mascarpone, biskota të lagura në kafe dhe kakao persiper.",300
Embelsire,Cheesecake,Cheesecake është një ëmbëlsirë klasike e përbërë nga një bazë biskotash dhe një shtresë e lëngshme djathi.,350
Embelsire,Shendetlie,"Shëndetlija është një ëmbëlsirë tradicionale me arra dhe sherbet, e njohur për shijen e ëmbël dhe teksturën e butë.",200
Embelsire,Kadaif,"Kadaifi është një embëlsirë me fije të holla të cilat sherbetohen, për të krijuar një teksturë të butë dhe një shije të ëmbël.",350
Pije,Uje Natyral,,100
Pije,Uje me Gaz,,120
Pije,Fanta,,200
Pije,Coca-Cola,,200
Pije,Suko,,100
Pije,Raki,,100
Pije,Ferrnet,,100
Pije,Konjak,,500
Pije,Uiski,,600
Pije,Koktail,,400
Pije,Birre,,200
Pije,Sprite,,200
Pije,Bravo,,200
Pije,Limonatë,,150
Pije,Mojito,,150
Pije,Pina Kolada,,150
Pije,Çaj i ftohtë,,150
Pije,Kafe e ftohtë,,150
Pije,Smoothie frutash,,150
Pije,Smoothie perimesh,,150
Pije,Red Bull,,150
Pije,Monster Energy,,150
Pije,Schweppes,,150
Pije,Fanta Portokalli,,150
Pije,Fanta Limoni,,150
Pije,Fanta Molle,,150
Pije,Coca-Cola Zero,,150
Pije,Coca-Cola Vanilje,,150
Pije,Coca-Cola Limon,,150
Pije,Coca-Cola Portokall,,150
Pije,Sprite Zero,,150
Pije,Sprite Limon,,150
Pije,Sprite Portokall,,150
Pije,Ujë me gaz dhe limon,,150
Pije,Ujë me gaz dhe portokall,,150
Pije,Ujë me gaz dhe molle,,150
Pije,Ujë me gaz dhe mjedër,,150
Pije,Ujë me gaz dhe kafe,,150
Pije ,Vere,,350
Pije ,Orange soda,,200
Pjate e Pare,Pilaf,Pilafi eshte nje pjate e gatuar me ereza dhe perdoret lengu I mishit ne vend te ujit pe ti dhene me shume shije.,100
Pjate e Pare,Tasqebab,Tasqebabi eshte nje pjate e shijshme e gatuar vetem me tul mishi qe mund te jete mish vici ose dashi.,300
Pjate e Pare,Speca te Mbushur,Specat e mbushur eshte nje gatim ne te cilin specat mbushen me gjize e domate dhe hudher qe piqet ne furre. ,550
Pjate e Pare,Suxhuk Furre,Suxhuku eshte nje gatim unik per shkak te shijes dhe cilesise se mishit te perdorur ne berjen e tij. ,350
Pjate e Pare,Fergese,"Fergese eshte nje tjeter gatim tradicional ku perdoren specat,domatet,qepet,gjizen dhe erezat ",200
Pjate e Pare,Petulla,"Petullat jane nje tjeter pjate qe pergatiten shume lehte duke perdorur vetem miell,sheqer,kripe,uje dhe veze. ",300
Pjate e Pare,Salce Kosi,Salca e kosit eshte nje tjeter pjate e cila shoqerohet zakonisht me buke. ,100
Pjate e Pare,Djathe Furre,Djathi i Furres eshte nje pjate ne te cilen djathi pergatitet me ane te vajit te ullirit dhe erezave.  ,300
